classifier,ap_type,metric,category,value,class,category_name
Foldseek,pooled_oof,roc_auc,Plants,0.9251679716432124,GPP,Kingdom
Foldseek,pooled_oof,ap,Protists,0.025714285714285714,GPP,Kingdom
Foldseek,pooled_oof,roc_auc,Protists,0.5,GPP,Kingdom
Foldseek,pooled_oof,ap,Viruses,0.16666666666666666,GPP,Kingdom
Foldseek,pooled_oof,roc_auc,Viruses,0.5,GPP,Kingdom
Foldseek,pooled_oof,ap,Animals,0.8016214779372675,IDS,Kingdom
Foldseek,pooled_oof,roc_auc,Animals,0.9991419294990723,IDS,Kingdom
Foldseek,pooled_oof,ap,Archaea,1.0,IDS,Kingdom
Foldseek,pooled_oof,roc_auc,Archaea,1.0,IDS,Kingdom
Foldseek,pooled_oof,ap,Bacteria,0.9204745157854033,IDS,Kingdom
Foldseek,pooled_oof,roc_auc,Bacteria,0.9998634224239368,IDS,Kingdom
Foldseek,pooled_oof,ap,Fungi,0.9989081972981247,IDS,Kingdom
Foldseek,pooled_oof,roc_auc,Fungi,0.999917232817188,IDS,Kingdom
Foldseek,pooled_oof,ap,Plants,0.9856910707207972,IDS,Kingdom
Foldseek,pooled_oof,roc_auc,Plants,0.9998362836385961,IDS,Kingdom
Foldseek,pooled_oof,ap,Protists,1.0,IDS,Kingdom
Foldseek,pooled_oof,roc_auc,Protists,1.0,IDS,Kingdom
Foldseek,pooled_oof,ap,Viruses,0.8333333333333334,IDS,Kingdom
