classifier,class,metric,ap_type,category_name,category,point,ci_low,ci_high,ci_method
CLEAN,GFPP,roc_auc,pooled_oof,Kingdom,Fungi,0.8071423875275423,0.7180068517070591,0.8856631999516091,percentile
CLEAN,GFPP,roc_auc,pooled_oof,Kingdom,Plants,0.5,0.5,0.5,percentile
CLEAN,GGPP,ap,pooled_oof,Kingdom,Animals,0.3650571182144618,0.09677604181118137,0.645135134122328,percentile
CLEAN,GGPP,ap,pooled_oof,Kingdom,Bacteria,0.3781409471732024,0.24984119969723828,0.5072187521660476,percentile
CLEAN,GGPP,ap,pooled_oof,Kingdom,Fungi,0.3035096219747553,0.13256489098737978,0.4957598873529752,percentile
CLEAN,GGPP,ap,pooled_oof,Kingdom,Plants,0.49665878815244374,0.16471720032603338,0.7620576257565731,percentile
CLEAN,GGPP,ap,pooled_oof,Kingdom,Protists,0.07254901960784314,0.0027162866737363025,0.46514866909964697,percentile
CLEAN,GGPP,roc_auc,pooled_oof,Kingdom,Animals,0.7896227218531767,0.6371660680773162,0.9269439038488988,percentile
CLEAN,GGPP,roc_auc,pooled_oof,Kingdom,Bacteria,0.78361394112207,0.7151154717986089,0.8477109593837535,percentile
CLEAN,GGPP,roc_auc,pooled_oof,Kingdom,Fungi,0.8150647457774858,0.713987387500876,0.9022574690501645,percentile
CLEAN,GGPP,roc_auc,pooled_oof,Kingdom,Plants,0.8173572653260381,0.6534047463394983,0.9280217826370004,percentile
CLEAN,GGPP,roc_auc,pooled_oof,Kingdom,Protists,0.6578690127077224,0.4897914428929466,0.9960348788638262,percentile
CLEAN,GPP,ap,pooled_oof,Kingdom,Animals,0.2932984289414908,0.003189705247784381,0.6179537068669343,percentile
CLEAN,GPP,ap,pooled_oof,Kingdom,Bacteria,0.0010683772878512035,0.000366427322410238,0.0021323839774344453,percentile
CLEAN,GPP,ap,pooled_oof,Kingdom,Fungi,0.004010695187165776,0.0006918261568723169,0.009380929791271343,percentile
CLEAN,GPP,ap,pooled_oof,Kingdom,Plants,0.46793003858568816,0.2505465700359587,0.662178902026534,percentile
CLEAN,GPP,ap,pooled_oof,Kingdom,Protists,0.07617411225658648,0.00947911004115866,0.3438888888888888,percentile
CLEAN,GPP,ap,pooled_oof,Kingdom,Viruses,0.16666666666666666,0.0625,0.375,percentile
CLEAN,GPP,roc_auc,pooled_oof,Kingdom,Animals,0.6428571428571428,0.5,0.8076923076923077,percentile
CLEAN,GPP,roc_auc,pooled_oof,Kingdom,Bacteria,0.4996483200355699,0.4991027046088736,0.5,percentile
CLEAN,GPP,roc_auc,pooled_oof,Kingdom,Fungi,0.4996607869742198,0.4989247311827957,0.5,percentile
