classifier,target_class,family,fold,bin_idx,edge_lo,edge_hi,n,n_pos,p_pred_mean,p_obs,wilson_lo,wilson_hi
PLM_Domains,GPP,logit_platt,0,3,0.00042901021390231086,0.0005314546589257499,233,0,0.00047639231960889194,0.0,0.0,0.016220123491819005
PLM_Domains,GPP,logit_platt,0,4,0.0005314546589257499,0.0006329706824441255,232,0,0.000581019024023979,0.0,0.0,0.016288898989830464
PLM_Domains,GPP,logit_platt,0,5,0.0006329706824441255,0.0007505097444178668,232,0,0.0006879138523494214,0.0,0.0,0.016288898989830464
PLM_Domains,GPP,logit_platt,0,6,0.0007505097444178668,0.0009021223655833941,233,0,0.0008201563721372338,0.0,0.0,0.016220123491819005
PLM_Domains,GPP,logit_platt,0,7,0.0009021223655833941,0.001103993477328128,232,0,0.0010020175157109765,0.0,0.0,0.016288898989830464
PLM_Domains,GPP,logit_platt,0,8,0.001103993477328128,0.00143363919366974,233,0,0.0012523711340510202,0.0,0.0,0.016220123491819005
PLM_Domains,GPP,logit_platt,0,9,0.00143363919366974,0.0023926996252175534,232,0,0.001754504846773493,0.0,0.0,0.016288898989830464
PLM_Domains,GPP,logit_platt,0,10,0.0023926996252175534,0.8823138989052592,232,27,0.16507218577362573,0.11637931034482758,0.08122615330394345,0.16402998471411614
PLM_Domains,GPP,logit_platt,0,11,0.8823138989052592,1.0,1,1,0.8823138989052592,1.0,0.2065432914738929,1.0
PLM_Domains,GPP,logit_platt,1,1,1.726051289226354e-11,0.0004266232355498474,217,0,0.00025321588174842936,0.0,0.0,0.017395273354295568
PLM_Domains,GPP,logit_platt,1,2,0.0004266232355498474,0.0005738084225621989,216,0,0.0005008037635843806,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,GPP,logit_platt,1,3,0.0005738084225621989,0.0006947817427410128,216,0,0.000633302527784547,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,GPP,logit_platt,1,4,0.0006947817427410128,0.0008071087977630435,217,0,0.0007501435336663022,0.0,0.0,0.017395273354295568
PLM_Domains,GPP,logit_platt,1,5,0.0008071087977630435,0.000936076982814889,216,0,0.0008688322170954202,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,GPP,logit_platt,1,6,0.000936076982814889,0.0011180531666239377,216,0,0.0010290011353543656,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,GPP,logit_platt,1,7,0.0011180531666239377,0.001370659988621691,217,0,0.0012284241315746274,0.0,0.0,0.017395273354295568
PLM_Domains,GPP,logit_platt,1,8,0.001370659988621691,0.0019153650466711284,216,0,0.001594476226100815,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,GPP,logit_platt,1,9,0.0019153650466711284,0.05342578074148476,216,3,0.010091190442911735,0.013888888888888888,0.004734431533963499,0.0400323460004067
PLM_Domains,GPP,logit_platt,1,10,0.05342578074148476,0.9363100038670441,216,85,0.3129474600153164,0.39351851851851855,0.3307732431331797,0.4599851938505396
PLM_Domains,GPP,logit_platt,1,11,0.9363100038670441,1.0,1,1,0.9363100038670441,1.0,0.2065432914738929,1.0
PLM_Domains,GPP,logit_platt,2,1,1.6110949814717269e-06,0.00016843108658645708,210,0,0.00012045769103102203,0.0,0.0,0.017964699104383804
PLM_Domains,GPP,logit_platt,2,2,0.00016843108658645708,0.00021982409385043513,210,0,0.00019432802391838516,0.0,0.0,0.017964699104383804
PLM_Domains,GPP,logit_platt,2,3,0.00021982409385043513,0.000274691184578604,210,0,0.00024712488660526136,0.0,0.0,0.017964699104383804
