classifier,target_class,family,fold,n,n_pos,log_loss,brier,ece,mce,log_loss_mean,log_loss_sd,brier_mean,brier_sd,ece_mean,ece_sd,mce_mean,mce_sd
PLM,IDS,logit_platt,0,2325,52,0.004541351648230064,0.001208507006052517,0.0009419817575321849,0.00864008307256911,,,,,,,,
PLM,IDS,logit_platt,1,2164,36,0.004023831366801528,0.00046348495684596656,0.0007062240919470894,0.005671487522122931,,,,,,,,
PLM,IDS,logit_platt,2,2100,24,0.0022892689661738476,0.0006922003080023397,0.0011887572666341294,0.011108318201786108,,,,,,,,
PLM,IDS,logit_platt,3,2577,46,0.005748144007829255,0.0017059357791273046,0.0020575673081643345,0.01947251105023981,,,,,,,,
PLM,IDS,logit_platt,4,2208,23,0.003700068727874849,0.0004538907941847668,0.0007412381129752621,0.0039168522130432135,,,,,,,,
PLM,IDS,logit_platt,__mean_sd__,11374,181,0.004061,0.000905,0.001127,0.009762,0.004060532943381908,0.0012597495053696672,0.0009048037688425788,0.000542524928066155,0.0011271537074506,0.0005544965521085208,0.009761850411952235,0.00608817172927343
PLM,FPP,logit_platt,0,2325,101,0.029353269258419662,0.008461841900250702,0.005527031960251981,0.04475995317005316,,,,,,,,
PLM,FPP,logit_platt,1,2164,137,0.05584229415457638,0.017326121278840652,0.01822810262648574,0.161098456165083,,,,,,,,
PLM,FPP,logit_platt,2,2100,80,0.042778377387286584,0.013436533263842657,0.010968344617347123,0.0981995204009119,,,,,,,,
PLM,FPP,logit_platt,3,2577,138,0.05414197686837113,0.01358273180754525,0.0033545045150698313,0.010108089794285131,,,,,,,,
PLM,FPP,logit_platt,4,2208,141,0.036816614403329784,0.010479309191864586,0.004640119597614746,0.018230948286539594,,,,,,,,
PLM,FPP,logit_platt,__mean_sd__,11374,597,0.043787,0.012657,0.008544,0.066479,0.04378650641439671,0.011297033238214764,0.012657307488468768,0.0033766489775532106,0.008543620663353884,0.006142730083635163,0.06647939356337455,0.06311953720020691
PLM,GPP,logit_platt,0,2325,28,0.02956026406220093,0.008475877736533943,0.007679938109516007,0.054501383436692766,,,,,,,,
PLM,GPP,logit_platt,1,2164,89,0.08054769803103592,0.0270802477884019,0.013545490932509884,0.1210353416357085,,,,,,,,
PLM,GPP,logit_platt,2,2100,26,0.03656880577735074,0.009161622868015458,0.0039032231306959544,0.026802135056967033,,,,,,,,
PLM,GPP,logit_platt,3,2577,73,0.03053020072626883,0.008039871087898073,0.004499925886682948,0.03930947199122026,,,,,,,,
PLM,GPP,logit_platt,4,2208,82,0.05335717548256582,0.015191449392939009,0.004725223094523006,0.06496370010461883,,,,,,,,
PLM,GPP,logit_platt,__mean_sd__,11374,298,0.046113,0.013590,0.006871,0.061322,0.04611282881588445,0.02148333569511419,0.013589813774757677,0.008079605913454883,0.006870760230785559,0.004007407525777556,0.06132240644504148,0.036406175380885045
PLM,GGPP,temperature,0,2325,36,0.021751891713848857,0.006009244712669309,0.00434799763711984,0.047781726577557415,,,,,,,,
PLM,GGPP,temperature,1,2164,55,0.031125855292376985,0.008380696816657249,0.004167308712915467,0.019164315901818052,,,,,,,,
