classifier,target_class,family,bin_idx,edge_lo,edge_hi,n,n_pos,p_pred_mean,p_obs,wilson_lo,wilson_hi
PLM,FPP,logit_platt,9,0.0033731598475403054,0.006658073824404372,1137,0,0.004480378745371351,0.0,0.0,0.0033673386384227223
PLM,FPP,logit_platt,10,0.006658073824404372,0.9993000275820968,1137,585,0.5139408952407545,0.5145118733509235,0.4854608017904953,0.543465212127651
PLM,FPP,logit_platt,11,0.9993000275820968,1.0,1,1,0.9993000275820968,1.0,0.2065432914738929,1.0
PLM,GPP,logit_platt,1,2.0793317161748e-11,0.0008461810889933627,1138,0,0.000580312826232236,0.0,0.0,0.0033643895965955344
PLM,GPP,logit_platt,2,0.0008461810889933627,0.0011326083995353998,1137,0,0.0009936032153874876,0.0,0.0,0.0033673386384227223
PLM,GPP,logit_platt,3,0.0011326083995353998,0.001376799813281096,1137,0,0.001252494336538543,0.0,0.0,0.0033673386384227223
PLM,GPP,logit_platt,4,0.001376799813281096,0.0016382985188423522,1138,0,0.0015031034075676446,0.0,0.0,0.0033643895965955344
PLM,GPP,logit_platt,5,0.0016382985188423522,0.0019194415734377517,1137,1,0.0017746079780045585,0.0008795074758135445,0.0001552675461385833,0.00496516284489905
PLM,GPP,logit_platt,6,0.0019194415734377517,0.002281743749919372,1137,0,0.0020932752269436873,0.0,0.0,0.0033673386384227223
PLM,GPP,logit_platt,7,0.002281743749919372,0.0027500951811849765,1138,0,0.0025020551163923094,0.0,0.0,0.0033643895965955344
PLM,GPP,logit_platt,8,0.0027500951811849765,0.0035520421058477547,1137,1,0.0031127371085320154,0.0008795074758135445,0.0001552675461385833,0.00496516284489905
PLM,GPP,logit_platt,9,0.0035520421058477547,0.006456518943738875,1137,4,0.00448287816394403,0.003518029903254178,0.0013688956247770653,0.009010810024105306
PLM,GPP,logit_platt,10,0.006456518943738875,0.9747488742683292,1137,291,0.23953543998469645,0.2559366754617414,0.23142221846010466,0.28209482018925736
PLM,GPP,logit_platt,11,0.9747488742683292,1.0,1,1,0.9747488742683292,1.0,0.2065432914738929,1.0
PLM,GGPP,temperature,1,1.5237150789210595e-07,0.0004708864038405611,1138,2,0.0002797821521132269,0.0017574692442882249,0.00048208374362754703,0.006385418719060797
PLM,GGPP,temperature,2,0.0004708864038405611,0.0007469777927429473,1137,0,0.0006139487941697468,0.0,0.0,0.0033673386384227223
PLM,GGPP,temperature,3,0.0007469777927429473,0.0010052397969983289,1137,0,0.0008765280534126439,0.0,0.0,0.0033673386384227223
PLM,GGPP,temperature,4,0.0010052397969983289,0.0012888462220130195,1138,0,0.0011428606470111847,0.0,0.0,0.0033643895965955344
PLM,GGPP,temperature,5,0.0012888462220130195,0.0016261593878227026,1137,0,0.0014488460673767922,0.0,0.0,0.0033673386384227223
