track,model,tps_type,ap_mean,ap_std,n_folds,mean_n_pos,ap_sem
C,HMM,di-int,0.8087535916478781,0.19409407548345356,4,11.0,0.09704703774172678
C,HMM,fpps,0.8947979797979798,0.14877812375874527,2,6.5,0.10520202020202017
C,HMM,gfpps,0.525,,1,4.0,
C,HMM,ggpps,0.8595754082688941,0.2124013673165218,5,11.8,0.09498877916672896
C,HMM,gpps,0.8485770639616793,,1,13.0,
C,HMM,hemi,1.0,,1,4.0,
C,HMM,mono,0.97326640881218,0.029860380820374868,5,41.2,0.013353968269677828
C,HMM,sesq,0.9852761183385862,0.013021396336467927,5,86.6,0.005823345474061802
C,HMM,sester,0.910533090646727,0.10333432888449448,4,7.5,0.05166716444224724
C,HMM,tri,0.886212193330095,0.1721530486812347,4,23.75,0.08607652434061736
C,PlmDomainsRF,di,0.9997446808510638,0.0005709109729786693,5,25.6,0.00025531914893617004
C,PlmDomainsRF,di-int,0.9955357142857143,0.008928571428571397,4,11.0,0.004464285714285698
C,PlmDomainsRF,fpps,0.8409595959595959,0.182204989778473,2,6.5,0.12883838383838384
C,PlmDomainsRF,gfpps,0.8303571428571428,,1,4.0,
C,PlmDomainsRF,ggpps,0.6759975640391267,0.2354289931761532,5,11.8,0.10528704652324253
C,PlmDomainsRF,gpps,1.0,,1,13.0,
C,PlmDomainsRF,hemi,1.0,,1,4.0,
C,PlmDomainsRF,mono,1.0,0.0,5,41.2,0.0
C,PlmDomainsRF,sesq,0.998134272720495,0.0041718930244488694,5,86.6,0.0018657272795049727
C,PlmDomainsRF,sester,1.0,0.0,4,7.5,0.0
C,PlmDomainsRF,tri,1.0,0.0,4,23.75,0.0
C,PlmRF,di,0.9959904103851549,0.006356261423843832,5,25.6,0.002842606525294882
C,PlmRF,di-int,0.944954648526077,0.06721080402466584,4,11.0,0.03360540201233292
C,PlmRF,fpps,0.4894101037851038,0.024307335214689616,2,6.5,0.01718788156288159
C,PlmRF,gfpps,0.6666666666666666,,1,4.0,
C,PlmRF,ggpps,0.6592405498459419,0.29188898478466,5,11.8,0.13053672237238031
C,PlmRF,gpps,0.6109991054829111,,1,13.0,
C,PlmRF,hemi,1.0,,1,4.0,
C,PlmRF,mono,0.994253779498182,0.006920729947313378,5,41.2,0.00309504452322225
C,PlmRF,sesq,0.9957056310359494,0.004834650754669214,5,86.6,0.002162121546982204
C,PlmRF,sester,1.0,0.0,4,7.5,0.0
C,PlmRF,tri,0.8832142857142856,0.18229882315074505,4,23.75,0.09114941157537253
D,Blastp,di,0.8691291620209665,0.06569015130500921,5,53.4,0.029377528754049424
D,Blastp,hemi,1.0,,1,3.0,
D,Blastp,mono,0.9162944637240086,0.06858302797759361,5,53.8,0.030671262532133845
D,Blastp,pt,0.38018526672012526,0.1845068717657954,5,34.0,0.08251398151683102
D,Blastp,sesq,0.9442653502150613,0.033879832562096514,5,102.0,0.015151521735031733
D,Blastp,sester,0.5721955665617637,0.18666588468140632,3,5.666666666666667,0.10777159876932958
D,Blastp,tetra,0.9230769230769231,,1,12.0,
D,Blastp,tri,0.7176706841498358,0.35006648773731425,5,22.8,0.15655449264504623
D,CLEAN,di,0.33468768966169815,0.24482420744369524,5,53.4,0.1094887140763225
D,CLEAN,hemi,0.2275132275132275,,1,3.0,
D,CLEAN,mono,0.3591041120425623,0.3125053104282934,5,53.8,0.13975662348946757
D,CLEAN,pt,0.3872385569311332,0.300629868230756,5,34.0,0.13444576428615496
D,CLEAN,sesq,0.44880950005044873,0.2534480862192536,5,102.0,0.11334542991069572
D,CLEAN,sester,0.02569009483403643,0.013539319560301613,3,5.666666666666667,0.007816929792784503
D,CLEAN,tetra,0.24494301994301992,,1,12.0,
D,CLEAN,tri,0.3491157588154943,0.3114730635609826,5,22.8,0.13929498865649395
D,CLEANEc,di,0.33808102013571684,0.2458973353397231,5,53.4,0.10996863146113643
D,CLEANEc,hemi,0.2275132275132275,,1,3.0,
D,CLEANEc,mono,0.3552044183874588,0.3140872306894226,5,53.8,0.14046407973724143
D,CLEANEc,pt,0.04556504311255503,0.037461676153809395,5,34.0,0.016753370886200134
D,CLEANEc,sesq,0.45278140532658695,0.25466742399266606,5,102.0,0.11389073434047244
D,CLEANEc,sester,0.013019904803559199,0.005211352130153169,3,5.666666666666667,0.003008775555185862
D,CLEANEc,tetra,0.24494301994301992,,1,12.0,
D,CLEANEc,tri,0.365790135770707,0.3251917487952307,5,22.8,0.14543017120563423
D,CLEANProp,di,0.2163146562231701,0.09831060410851929,5,53.4,0.043965838739143843
D,CLEANProp,hemi,0.01020408163265306,,1,3.0,
D,CLEANProp,mono,0.2213196563939123,0.14392060439756532,5,53.8,0.06436325095916225
D,CLEANProp,pt,0.15692354397566124,0.09666759140920622,5,34.0,0.04323106112243196
D,CLEANProp,sesq,0.33809033098648944,0.12220121968155893,5,102.0,0.054650046828270196
D,CLEANProp,sester,0.021882143925663317,0.010325205850028114,3,5.666666666666667,0.005961260376952031
D,CLEANProp,tetra,0.08955223880597014,,1,12.0,
D,CLEANProp,tri,0.08971693678802643,0.10336953764979338,5,22.8,0.04622826259753237
D,Foldseek,di,0.9384026060116785,0.02683814481891754,5,53.4,0.012002383241016679
D,Foldseek,hemi,1.0,,1,3.0,
D,Foldseek,mono,0.9497464026679436,0.03135385673644525,5,53.8,0.014021871003896257
D,Foldseek,pt,0.44446316562406957,0.25381113550285545,5,34.0,0.113507790486159
D,Foldseek,sesq,0.9716704332916579,0.031438176006758856,5,102.0,0.014059579727943137
D,Foldseek,sester,0.8714285714285714,0.14498416521560312,3,5.666666666666667,0.08370664681546164
D,Foldseek,tetra,0.7761712483345569,,1,12.0,
D,Foldseek,tri,0.8896132389418675,0.11901268119182941,5,22.8,0.05322408906588825
D,HMM,di,0.9351579217675752,0.024906902150199542,5,53.4,0.01113870526335637
D,HMM,hemi,1.0,,1,3.0,
D,HMM,mono,0.9991669636918783,0.001339271066395905,5,53.8,0.0005989402289519755
D,HMM,pt,0.9583839249126569,0.08297112085673014,5,34.0,0.037105813280999836
