track,model,tps_type,fold,n_pos,n_neg,ap,pos_mean,pos_median,pos_min,pos_max,pos_frac_zero,neg_mean,neg_median,neg_max,neg_frac_nonzero
A,CLEANEc,tri,4,111,1987,0.9354323305585159,0.9521603603603604,0.9973,0.0586,0.9989,0.0,0.005377654755913437,0.0,0.9987,0.013085052843482638
A,CLEANEc,di-int,4,5,1987,0.5496503496503498,0.99176,0.9979,0.9746,0.9988,0.0,0.005377654755913437,0.0,0.9987,0.013085052843482638
A,CLEANEc,di,4,7,1987,0.31187963240370464,0.638,0.9846,0.0,0.9979,0.2857142857142857,0.005377654755913437,0.0,0.9987,0.013085052843482638
A,CLEANEc,sester,4,3,1987,0.13145489351519501,0.6641666666666667,0.996,0.0,0.9965,0.3333333333333333,0.005377654755913437,0.0,0.9987,0.013085052843482638
A,CLEANEc,ggpps,4,12,1987,0.026336084709021178,0.08315833333333333,0.0,0.0,0.9979,0.9166666666666666,0.005377654755913437,0.0,0.9987,0.013085052843482638
A,CLEANEc,mono,4,20,1987,0.618898973913128,0.8531799999999998,0.99095,0.0,0.9986,0.05,0.005377654755913437,0.0,0.9987,0.013085052843482638
A,CLEANProp,sesq,0,144,2002,0.8746400815471185,0.9817154295721059,1.0,0.0,1.0,0.013888888888888888,0.010621018811033948,0.0,1.0,0.012487512487512488
A,CLEANProp,mono,0,15,2002,0.45454545454545453,1.0,1.0,1.0,1.0,0.0,0.010621018811033948,0.0,1.0,0.012487512487512488
A,CLEANProp,di-int,0,41,2002,0.6949152542372882,1.0,1.0,1.0,1.0,0.0,0.010621018811033948,0.0,1.0,0.012487512487512488
A,CLEANProp,ggpps,0,21,2002,0.5384615384615384,1.0,1.0,1.0,1.0,0.0,0.010621018811033948,0.0,1.0,0.012487512487512488
A,CLEANProp,sester,0,9,2002,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.010621018811033948,0.0,1.0,0.012487512487512488
A,CLEANProp,di,0,56,2002,0.7404565544417375,0.9821428571428571,1.0,0.0,1.0,0.017857142857142856,0.010621018811033948,0.0,1.0,0.012487512487512488
A,CLEANProp,gfpps,0,3,2002,0.14285714285714285,1.0,1.0,1.0,1.0,0.0,0.010621018811033948,0.0,1.0,0.012487512487512488
